categoryId,productId,UserId,Event,Rating
52,128726,5339215756,1,0.0
37,384862,5665579152,0,0.0
42,47836,4858194843,1,0.0
16,80104,3848166898,1,0.0
70,72091,1235518646,0,0.0
76,358641,2751793177,1,0.0
50,182348,7396262117,0,0.0
59,438142,3877467573,1,0.0
28,285233,5664433298,0,0.0
35,197072,3543595691,0,0.0
93,278649,3585281148,3,0.0
49,128271,2112595418,1,0.0
52,86900,6127476766,1,0.0
49,137211,5391274599,1,0.0
75,189131,4114743842,3,0.0
22,212204,8376688313,3,0.0
89,132674,4551173954,0,0.0
66,119839,5639982677,0,0.0
16,61737,1826218485,0,0.0
88,448782,8463795241,2,0.0
49,145520,1443641388,1,0.0
1,349276,9673164446,1,0.0
53,137918,6627963842,0,0.0
57,138232,6932529553,0,0.0
90,38049,5974927867,0,0.0
85,156183,3585619848,0,0.0
57,69463,6627963842,0,0.0
22,404253,2861232862,0,0.0
37,376111,2174837822,0,0.0
38,136434,7851653342,3,0.0
81,55539,8175597855,3,0.0
92,19070,3447998432,0,0.0
89,93865,8244348381,0,0.0
75,183684,1759419162,0,0.0
92,76376,3937891173,0,0.0
89,123189,1857923618,0,0.0
53,87023,5752115699,1,0.0
89,252677,7267646477,0,0.0
90,141249,2995697862,1,0.0
59,497410,2643583698,0,0.0
66,106531,3321184897,1,0.0
30,135569,5552186518,1,0.0
16,4017,7582195596,0,0.0
70,72094,9292587697,1,0.0
59,483689,3345436795,0,0.0
21,383971,5962542737,0,0.0
7,77957,9733554732,0,0.0
50,444615,6224737872,1,0.0
50,418342,6275645317,0,0.0
89,210719,3476225283,1,0.0
11,60390,4815297381,1,0.0
16,3829,2544842752,0,0.0
51,86636,6178271551,0,0.0
42,127958,6984931736,1,0.0
49,67804,9345276963,0,0.0
64,106139,6133475434,1,0.0
90,57146,9516883724,3,0.0
50,388963,4858759231,3,0.0
9,96415,1498626275,0,0.0
37,453779,6361383566,1,0.0
42,9393,6318189787,1,0.0
38,480123,1472776836,1,0.0
92,76357,9298813583,0,0.0
50,208578,9141735216,0,0.0
1,174285,4311467857,0,0.0
74,188887,1959284869,0,0.0
57,12084,9736296347,1,0.0
66,119766,9464365415,3,0.0
21,80922,3149347574,0,0.0
50,437948,6398448713,0,0.0
81,55539,7623872675,0,0.0
66,13623,3392657773,1,0.0
88,358861,9264719875,0,0.0
90,149401,5475878151,0,0.0
64,154566,6181118735,2,0.0
55,214021,1998884277,0,0.0
30,6539,3292245324,1,0.0
16,23358,2239753269,1,0.0
7,133984,9733554732,1,0.0
88,288453,6135798768,0,0.0
35,453537,6133475434,0,0.0
28,254225,7516946556,1,0.0
35,320696,7623872675,0,0.0
59,486930,4556499569,3,0.0
28,228008,5146737949,1,0.0
88,318481,1688757659,3,0.0
21,243491,2153435772,1,0.0
69,377610,8475345687,0,0.0
22,423762,4119539974,0,0.0
90,141404,9733554732,1,0.0
51,166155,5947132443,0,0.0
30,135541,4251669558,1,0.0
70,72059,9377594912,3,0.0
10,420087,5635258759,3,0.0
38,421519,1596978872,1,0.0
75,267780,1756845125,0,0.0
55,224571,6151329497,1,0.0
35,434204,4647634994,0,0.0
49,128271,2853439823,1,0.0
10,374489,6748811752,3,0.0
64,138756,9214619252,3,0.0
52,118050,7878213762,0,0.0
42,28688,6172121823,0,0.0
11,142866,6963212915,0,0.0
65,32826,3176411289,1,0.0
93,174233,5983293292,0,0.0
30,115174,8689734761,1,0.0
30,115151,9991548195,0,0.0
59,307294,5457688447,0,0.0
70,53048,4956139597,0,0.0
52,137793,1579422914,0,0.0
57,154170,2251493759,3,0.0
42,66736,3455462888,0,0.0
9,40923,8132482459,0,0.0
85,93263,1284798668,0,0.0
92,133177,2486221556,1,0.0
22,498363,3151539591,0,0.0
49,145451,9258117785,0,0.0
89,132769,5693198813,1,0.0
89,328853,7978113256,1,0.0
9,78535,6193782794,0,0.0
74,293097,2225147977,0,0.0
35,164780,8964927777,0,0.0
53,86932,6412493543,0,0.0
90,75935,3329565882,3,0.0
22,498262,7139467429,1,0.0
38,116181,9797593866,0,0.0
85,75215,2986614194,1,0.0
7,77790,7878213762,0,0.0
76,298179,3655741242,0,0.0
