categoryId,productId,rating,rating_count,quantity_sold,price
1.0,339327.0,3.3333333333333335,3.0,41.0,11190.62562336976
1.0,179578.0,1.6666666666666667,3.0,42.0,9004.985105871838
1.0,308981.0,3.5,4.0,48.0,8799.683313847205
1.0,124015.0,3.3333333333333335,3.0,47.0,9297.391499368228
1.0,359332.0,3.5,4.0,57.0,10739.752012568537
1.0,39078.0,1.0,1.0,39.0,10304.725696680369
1.0,278872.0,1.0,1.0,40.0,10824.660011684695
1.0,190010.0,3.4042595763448396,0.0,34.0,8466.290165961838
1.0,344183.0,3.0,3.0,36.0,11459.613740601531
1.0,195238.0,3.5,2.0,35.0,9403.400071153537
1.0,205793.0,4.5,2.0,33.0,10551.009831366902
1.0,133485.0,4.0,2.0,47.0,11502.703631088558
1.0,349276.0,2.5,2.0,53.0,10158.769807806208
1.0,237302.0,3.5,4.0,60.0,11249.693994441477
1.0,190121.0,4.0,4.0,44.0,10435.214120273786
1.0,253.0,2.8,5.0,35.0,9243.227513870714
1.0,163189.0,4.5,2.0,45.0,10671.731645482932
1.0,359465.0,3.4042595763448396,0.0,43.0,11077.636335707595
1.0,174285.0,3.0,3.0,36.0,9956.746552611323
1.0,278967.0,3.4042595763448396,0.0,49.0,9453.284381878626
1.0,216250.0,4.0,2.0,40.0,10239.710263716888
1.0,309049.0,2.3333333333333335,3.0,33.0,10995.231153685054
1.0,200604.0,3.0,2.0,39.0,10346.85528107068
1.0,324171.0,4.5,4.0,45.0,8518.702688591988
1.0,354322.0,3.8,5.0,44.0,8422.19894003341
1.0,184911.0,4.0,4.0,30.0,9715.681505778115
1.0,221573.0,4.5,2.0,53.0,8969.63034050541
1.0,157101.0,3.0,3.0,47.0,10025.998834949674
1.0,76875.0,3.5,2.0,43.0,9239.608399872432
1.0,294058.0,3.0,1.0,46.0,9628.59502067298
1.0,263537.0,3.4042595763448396,0.0,49.0,11649.241435711265
1.0,334133.0,3.0,1.0,49.0,10769.724330492803
1.0,157053.0,3.0,1.0,36.0,10641.63442065278
1.0,123991.0,2.0,1.0,33.0,9774.742103375136
1.0,211032.0,4.0,1.0,48.0,10028.189944333812
1.0,94859.0,1.5,2.0,44.0,10506.112898066725
1.0,242578.0,2.75,4.0,59.0,8985.208888645331
1.0,364393.0,4.333333333333333,3.0,37.0,9847.888617581264
1.0,294087.0,2.4,5.0,49.0,8433.262232131301
1.0,344324.0,2.0,3.0,39.0,10505.798200755384
1.0,279006.0,4.0,1.0,39.0,8943.397058889026
1.0,141975.0,3.0,1.0,45.0,9477.445357457618
1.0,190039.0,2.5,2.0,36.0,10156.555604083322
1.0,247788.0,2.6,5.0,46.0,8890.994833777999
1.0,195313.0,4.0,3.0,37.0,8995.884802594295
1.0,329097.0,4.666666666666667,3.0,62.0,11444.179246398553
1.0,211048.0,1.5,2.0,52.0,8666.079142667506
1.0,273839.0,3.4042595763448396,0.0,41.0,9096.40147725866
1.0,221499.0,4.333333333333333,3.0,44.0,8612.53841722553
1.0,258284.0,3.6,5.0,43.0,9864.197837107004
1.0,179540.0,3.4042595763448396,0.0,47.0,9630.535718095125
1.0,309099.0,3.5,4.0,34.0,8378.06384770976
1.0,369389.0,4.0,2.0,41.0,11810.423294508504
1.0,369405.0,3.3333333333333335,3.0,35.0,9151.82418850017
1.0,219.0,4.0,1.0,43.0,10959.172145375996
1.0,268766.0,3.0,2.0,42.0,7962.976348609653
1.0,289022.0,2.2,5.0,47.0,8278.336426038479
1.0,179627.0,1.5,2.0,41.0,11350.482005939233
1.0,195283.0,3.4042595763448396,0.0,26.0,9966.503641720545
1.0,133505.0,3.0,2.0,47.0,9827.640329784912
1.0,19736.0,3.0,1.0,45.0,8795.007380708477
1.0,168733.0,3.6666666666666665,3.0,48.0,10561.45118748454
1.0,344311.0,3.0,1.0,31.0,10477.518506174398
1.0,334201.0,2.3333333333333335,3.0,54.0,10013.428427025347
1.0,278866.0,3.0,2.0,43.0,9927.89455970879
1.0,374217.0,3.3333333333333335,3.0,44.0,10552.875053542519
1.0,359468.0,5.0,1.0,54.0,11406.075993487011
1.0,205740.0,2.5,2.0,48.0,11274.764717023147
1.0,354250.0,3.5,4.0,47.0,9825.44723534372
1.0,349284.0,3.0,1.0,40.0,9750.859074037906
1.0,184767.0,2.0,2.0,44.0,8811.5903795672
1.0,339192.0,3.0,3.0,51.0,11051.85645866305
1.0,168860.0,4.0,1.0,42.0,9637.115442227278
1.0,354341.0,1.6666666666666667,3.0,42.0,8781.673247473482
1.0,252983.0,3.0,4.0,32.0,10608.773154891585
1.0,190081.0,3.6666666666666665,3.0,43.0,8054.450505704482
1.0,174312.0,3.0,1.0,40.0,10331.006102242252
1.0,364376.0,3.6666666666666665,3.0,48.0,10405.530249692416
1.0,190028.0,3.0,2.0,41.0,9825.76566917984
1.0,200517.0,2.6666666666666665,3.0,42.0,9324.45261945881
1.0,258238.0,4.0,3.0,38.0,10612.295101378033
1.0,359466.0,4.5,4.0,42.0,10057.239983943016
1.0,111577.0,3.25,4.0,43.0,9612.265133141915
1.0,359377.0,4.0,2.0,42.0,10237.901333634874
1.0,226735.0,1.5,2.0,35.0,9646.001132613512
1.0,237257.0,4.0,1.0,47.0,10204.983159317619
1.0,359387.0,2.75,4.0,40.0,9196.95705241323
1.0,184884.0,4.0,3.0,39.0,8228.38847042515
1.0,263612.0,3.6666666666666665,3.0,40.0,9008.451979398775
1.0,252928.0,4.0,1.0,40.0,8623.389716528207
1.0,111574.0,3.0,1.0,38.0,10402.302835151886
1.0,242593.0,4.25,4.0,43.0,9572.8465533399
1.0,237235.0,5.0,2.0,38.0,10486.935314190305
