categoryId,productId,name
1,339327,Su-mix Super Premium Small Bullet Juicer Jar ABS Plastic Set of 1 Bullet Jars 350ml- Black
1,179578,"LG 1.5 Ton 3 Star Hot & Cold DUAL Inverter Split AC (Copper, Super Convertible 5-in-1 Cooling, 4 Way Swing & Anti Allergic..."
1,308981,Purity original kent gold uf (ultra filtration) connector/holder for gold gold plus optima models
1,124015,"Whirlpool 184 L 4 Star Inverter Direct-Cool Single Door Refrigerator (WDE 205 ROY 4S INV SAPPHIRE MAGNOLIA-Z, Sapphire Mag..."
1,359332,Care N Made® Solenoid Valve 24 VDC for Kent/AQUAGARD RO Water Purifier
1,39078,"Buildskill 3 Meter Flexible PVC Washing Machine Inlet Hose, Universal Water Inlet with Tap adaptor/Connector for Top & Fro..."
1,278872,Da Anushi Split AC Service Wash Bag Cover AC Service Cleaning Cover Waterproof Indoor Unit Service Cover Bag with Drain Ou...
1,190010,KHC Lint Filter for LG. Top Load/Loading Fully Automatic Washing Machine Magic Filter (Blue) Set of 2
1,344183,Foot Controller Automatic Sewing Machines Usha Janome Type Indian Plug 200-240V
1,195238,"LJL Traders® Exhaust Fan/Chimney Vent Pipe/Wall Air Vent Cover And Mosquito Net Dust controller, Vent Cap, Vent Grill, Mat..."
1,205793,"(Renewed) American Micronic-AMI-VCD21-1600WDx-Wet & Dry Vacuum Cleaner with Blower Function, 1600Watts, 21-litres, Stainle..."
1,133485,"bvslf Silica Gel 5gm Pouch 200 pcs Pack, Silica Gel 1 KG Pack, Moisture absorbents, Dehumidifier Silica Gel Bags for Moist..."
1,349276,"RODAK Crevice Nozzle compatible with Philipps, Kent, Roots, Russell Hobbs and Other Brands, 32 MM, Imported"
1,237302,"Stylista Top Load Fully Automatic Washing Machine Cover Suitable for Samsung 6 kg, 6.2 kg, 6.5 kg, 7 kg & 7.5 kg Ditzy Pat..."
1,190121,New Ware® 5 Meter Multipurpose Hose Pipe for AC Outlet Drain Water
1,253,"Bajaj ATX 4 750-Watt Pop-up Toaster, 2-Slice Automatic Pop up Toaster with Dust Cover & Slide Out Crumb Tray, 6-Level Brow..."
1,163189,"Wonderchef Nutri-blend BOLT Complete Kitchen Machine | 600W Powerful motor | 22000 RPM Mixer grinder, Blender & Chopper | ..."
1,359465,ULTRA Topp 750W 3 Jar Mixer Grinder Blue
1,174285,"Inditradition Silicone Iron Mat Pad | High Heat Resistant Iron Insulation Pad, 27x14 cm (Blue)"
1,278967,"Faber FWP Galaxy PRO Reverse Osmosis Water Purifier 7L, black, ro+mat"
1,216250,"FIGMENT Handheld Milk Frother Rechargeable, 3-Speed Electric Frother for Coffee with 2 Whisks and Coffee Decoration Tool, ..."
1,309049,Prestige PKLSS 1.7 Electric Kettle 1.7L
1,200604,"Seazone RO Water Purifier Virgin Ro Pipe 5 Meter White, 5 Meter Blue, 1/4 Inch Size"
1,324171,RP MALL New Mini Sealing Machine Plastic Bag Sealer Machine Sealer for Plastic Bags Hand Sealer Machine Mini Food SealerMi...
1,354322,"Amazon Brand - Umi. Front Load Washing Machine Cover Suitable for LG 7 kg, 7.5 kg, 8 kg, 8.5 kg, 9 kg (63X63X81 CMS, White..."
1,184911,IONIX Weight Machine | Weight Machine for Luggage Weight | Weight Scale | Luggage Weighing Scale | Electronic Portable Fis...
1,221573,Nextron ABS Body NX-50TX Voltage Stabilizer Used for Single & Double Door Refrigerator (Cherry Red Colour) (Working Range...
1,157101,LSRP'S Universal Fit (26CM) Spin Cap Compatible with LG Spin Cap for 7.5kg & 8kg Semi Automatic Washing Machine Dryer Spin...
1,76875,"Kuber Industries Disney Print Waterproof Canvas Laundry Bag|Mickey Mouse Print|Toy Storage|Laundry Basket Organizer, Capic..."
1,294058,"Longway Orion Mixer Grinder 900 W (4 Jars, Black) | long lasting shock proof ABS body | Heavy Duty Motor | Nano-grinding t..."
1,263537,"Havells Celia 55 Litres Desert Air Cooler with Honeycomb Pads, Powerful Air-Delivery, Collapsible Louvers (55L, White & Grey)"
1,334133,PUREZA RO Water Purifier SS Stand for Kent model Wall mounting/Wall Hanging Filter Cartridge
1,157053,"iBELL DF610M Electric Deep Fryer 6 Litre Stainless Steel 2500W with Variable Temperature Control, Silver"
1,123991,"Kuber Industries Table Top Wet Grinder Cover|Dot Printed & Water/Dust Proof PVC Material|Cover for Mixer Grinder, Size 53 ..."
1,211032,Goel Home Decor Multi-Purpose Refrigerator Door Handle Covers(2 Piece) - 1 Pair (Black Box Handle Covers)
1,94859,"Pigeon by Stovekraft Deluxe Aluminium Outer Lid Pressure Cooker, 10 Litres, Silver"
1,242578,PBROS 5 Meter Multipurpose Hose Pipe for AC Outlet Drain Water
1,364393,Tubular Inverter Battery Tray
1,294087,"Malabar Trading Company Aluminum Uruli 11.5"" - Silver | Uruli for Cooking 3 Litre"
1,344324,MONU Juicer Rechargeable Hand Juicer 6 Blade Portable Electric Mini USB Multi color Bottle Blender shaker All Fruit Juice ...
1,279006,Koinonia Coffee Filter Papers
1,141975,"Prestige Express PEX 3.0 Mixer Grinder with Multipurpose Jars, 500 ml & 300 ml, Silver)"
1,190039,"Amazon Brand - Solimo PVC Fridge Multipurpose Circles Design Mat- Yellow, Pink, Blue, Set of 6"
1,247788,"mastBus 3 Pcs Empty Water Bottle Spray Small 100ml for Hair, Face, Plant, Oil, Hand, Kitchen Mini Pocket Sanitizer Fine Mi..."
1,195313,"Deerma F600 Ultrasonic Air Humidifier with Digital Shell Design, Intelligent Touch Screen, Multiple Mist Modes & Recyclabl..."
1,329097,Chartbusters 750-Watt Popular Plus Light Weight Dry Iron Plus Crease Lightning(Multicolour)
1,211048,Blue Star Aristo RO+UV+UF+Mineral Water Purifier with Pre Filter & Aqua Mineral Infuser Technology 7L|8 Stage Purificatio...
1,273839,JKICHNM Regular Gas Sandwich Toaster | Nonstick Sandwich Manual Toaster Deluxe With Spatula Set (2 Cut ) (Black)).
1,221499,2pcs LG Top Load Semi Automatic Washing Machine Spin Cap for 6.5kg Machine (Match & Buy)
1,258284,"CZ-IT Moisture Absorber Refill Economy Pack, White, 3400 g"
1,179540,Luminous Propelaire 1200MM Designer Ceiling Fan for Home and Office with BEE 3-Star Rating and 40% Energy Saving (Sporty Y...
1,309099,"AMPEREUS 5"" Cowl Cover for Kitchen Chimney Exhaust Duct Pipe"
1,369389,"Mass Pro Straight R410A Refrigerant Charging Valve, 1/4"" Male to 5/16"" Female Safety Adapter Flow Control Ball Valve for R..."
1,369405,"KiloMaxx KM-09, 30kg x 1g Electronic Chargeable Weighing Machine / Weighing Scale with Front & Back Double UltraBright Gre..."
1,219,"HealthSense Chef-Mate KS 33 Digital Kitchen Weighing Scale & Food Weight Machine for Health, Fitness, Home Baking & Cookin..."
1,268766,"SPOWER Axial Cooling Fan 230 Volts AC size 4 inch,Brand (Jigo)"
1,289022,"IKEA BLASKA Clothes-basket, white, 36 l (10 gallon) ,polypropylene;Plastic"
1,179627,"Havells 1200mm Nicola Energy Saving Ceiling Fan (Bronze Copper, Pack of 1)"
1,195283,Eureka Forbes Aquaguard Ritz RO+UV+MTDS+Alkaline+UV e-boiling+Mineral Guard+Stainless steel Water Purifier (White)
1,133505,"ResQTech PW-101 Advance 1700 Watt 135 Bar High Pressure Washer with Foam Cannon,90 Degree Nozzle,6m Hose Pipe /6 m Power C..."
1,19736,"Factcore Combo of Kitchen Combo Fridge Top Cover(21 X 39 Inches), Fridge Handle Covers (12 X 6 Inches)+ 4 Fridge Mats (11 ..."
1,168733,"Panasonic MXSM11 Watt Mill Jar, Silver"
1,344311,RSNR Kettle parts | For all model Kettle | Electric Kettle Part (Kettle ke thermostat-with-socket)
1,334201,Kitchen Mart Replacement Slicing Blade Attachment compatible with Preethi Zodiac Mixer Grinder's MasterChef Plus jar (Blac...
1,278866,kiyan 250ML Hairdressing Spray Bottle Salon Barber Hair Tools Water Sprayer Transparent Make-up Style Portable Plastic Spr...
1,374217,"Havells Koolaire Honeycomb Desert Air Cooler - 51 Litres (White, Grey)"
1,359468,"QUALX Mini Crystal 5 Year Domestic Warranty TV Stabilizer for up to 82 cm (32"") Smart/LED TV + Set Top Box (Black) (Pack o..."
1,205740,Aqualiquid Ro RO Water Dispenser JAR with Float Valve RO Water Bottles - 4L
1,354250,Black liger Aluminum Electric Rice Cooker Hole Cooking Plate for 1 Litre Cookers only
1,349284,"iScale Electronic Platform Weighing Scale 150kg Capacity 10g Accuracy Weight Machine Digital for Shop, Commercial and Indu..."
1,184767,"Havells Bianca 1200mm Energy Saving with Remote Control 5 Star Decorative BLDC Ceiling Fan (Espresso Brown, Pack of 1)"
1,339192,Omjai's Mityol Blaze Sewing Machine Oil (450ml) with Free Machine Oil refillable Bottle
